         ps       /tb/rst        /tb/x             
          delta     /tb/ena   /tb/detector         
                      /tb/clk                      
                       /tb/DetectionCode           
   18200000  +1         0 1 0 00110110 2 0 
   18250000  +1         0 1 1 00110110 2 0 
   18300000  +1         0 1 0 00111001 2 0 
   18350000  +1         0 1 1 00111001 2 0 
   18400000  +1         0 1 0 00111100 2 0 
   18450000  +1         0 1 1 00111100 2 0 
   18500000  +1         0 1 0 00111111 2 0 
   18550000  +1         0 1 1 00111111 2 0 
   18600000  +1         0 1 0 01000010 2 0 
   18650000  +2         0 1 1 01000010 2 1 
   18700000  +1         0 1 0 01000101 2 1 
   18750000  +1         0 1 1 01000101 2 1 
   18800000  +1         0 1 0 01001000 2 1 
   18850000  +1         0 1 1 01001000 2 1 
   18900000  +1         0 1 0 01001011 2 1 
   18950000  +1         0 1 1 01001011 2 1 
   19000000  +1         0 1 0 01001111 2 1 
   19050000  +1         0 1 1 01001111 2 1 
   19100000  +1         0 1 0 01010011 3 1 
   19150000  +1         0 1 1 01010011 3 1 
   19200000  +1         0 1 0 01010111 3 1 
   19250000  +1         0 1 1 01010111 3 1 
   19300000  +1         0 1 0 01011011 3 1 
   19350000  +1         0 1 1 01011011 3 1 
   19400000  +1         0 1 0 01011111 3 1 
   19450000  +1         0 1 1 01011111 3 1 
   19500000  +1         0 1 0 01100011 3 1 
   19550000  +1         0 1 1 01100011 3 1 
   19600000  +1         0 1 0 01100111 3 1 
   19650000  +1         0 1 1 01100111 3 1 
   19700000  +1         0 1 0 01111111 0 1 
   19750000  +2         0 1 1 01111111 0 0 
   19800000  +1         0 1 0 01111111 0 0 
   19850000  +1         0 1 1 01111111 0 0 
   19900000  +1         0 1 0 10000000 0 0 
   19950000  +1         0 1 1 10000000 0 0 
   20000000  +1         0 1 0 10000001 0 0 
   20050000  +1         0 1 1 10000001 0 0 
   20100000  +1         0 1 0 10000010 0 0 
   20150000  +1         0 1 1 10000010 0 0 
   20200000  +1         0 1 0 10000011 0 0 
   20250000  +1         0 1 1 10000011 0 0 
   20300000  +1         0 1 0 10000100 0 0 
   20350000  +1         0 1 1 10000100 0 0 
   20400000  +1         0 1 0 10000101 0 0 
   20450000  +1         0 1 1 10000101 0 0 
   20500000  +1         0 1 0 10000110 0 0 
   20550000  +1         0 1 1 10000110 0 0 
   20600000  +1         0 1 0 10000111 0 0 
   20650000  +1         0 1 1 10000111 0 0 
   20700000  +1         0 1 0 10001000 0 0 
   20750000  +2         0 1 1 10001000 0 1 
   20800000  +1         0 1 0 10001001 0 1 
   20850000  +1         0 1 1 10001001 0 1 
   20900000  +1         0 1 0 10001010 0 1 
   20950000  +1         0 1 1 10001010 0 1 
   21000000  +1         0 1 0 00000000 3 1 
   21050000  +2         0 1 1 00000000 3 0 
   21100000  +1         0 1 0 00000100 3 0 
   21150000  +1         0 1 1 00000100 3 0 
   21200000  +1         0 1 0 00001000 3 0 
   21250000  +1         0 1 1 00001000 3 0 
   21300000  +1         0 1 0 00001100 3 0 
   21350000  +1         0 1 1 00001100 3 0 
   21400000  +1         0 1 0 00010000 3 0 
   21450000  +1         0 1 1 00010000 3 0 
   21500000  +1         0 1 0 00010100 3 0 
   21550000  +1         0 1 1 00010100 3 0 
   21600000  +1         0 1 0 00011000 3 0 
   21650000  +1         0 1 1 00011000 3 0 
   21700000  +1         0 1 0 00011100 3 0 
   21750000  +1         0 1 1 00011100 3 0 
   21800000  +1         0 1 0 00100000 3 0 
   21850000  +2         0 1 1 00100000 3 1 
   21900000  +1         0 1 0 00100100 3 1 
   21950000  +1         0 1 1 00100100 3 1 
   22000000  +1         0 1 0 00101000 3 1 
   22050000  +1         0 1 1 00101000 3 1 
   22100000  +1         0 1 0 00101100 3 1 
   22150000  +1         0 1 1 00101100 3 1 
   22200000  +1         0 1 0 00110000 3 1 
   22250000  +1         0 1 1 00110000 3 1 
   22300000  +1         0 1 0 00101100 3 1 
   22350000  +1         0 1 1 00101100 3 1 
   22400000  +1         0 1 0 00101000 3 1 
   22450000  +2         0 1 1 00101000 3 0 
   22500000  +1         0 1 0 00100100 3 0 
   22550000  +1         0 1 1 00100100 3 0 
   22600000  +1         0 1 0 00100000 3 0 
   22650000  +1         0 1 1 00100000 3 0 
   22700000  +1         0 1 0 00011100 3 0 
   22750000  +1         0 1 1 00011100 3 0 
   22800000  +1         0 1 0 00011000 3 0 
   22850000  +1         0 1 1 00011000 3 0 
   22900000  +1         0 1 0 00010100 3 0 
   22950000  +1         0 1 1 00010100 3 0 
   23000000  +1         0 1 0 00010000 3 0 
   23050000  +1         0 1 1 00010000 3 0 
   23100000  +1         0 1 0 00001100 3 0 
   23150000  +1         0 1 1 00001100 3 0 
   23200000  +1         0 1 0 00001000 3 0 
   23250000  +1         0 1 1 00001000 3 0 
   23300000  +1         0 1 0 00000100 3 0 
   23350000  +1         0 1 1 00000100 3 0 
   23400000  +1         0 1 0 00000000 3 0 
   23450000  +1         0 1 1 00000000 3 0 
   23500000  +1         0 1 0 00000100 3 0 
   23550000  +1         0 1 1 00000100 3 0 
   23600000  +1         0 1 0 00001000 3 0 
   23650000  +1         0 1 1 00001000 3 0 
   23700000  +1         0 1 0 00001100 3 0 
   23750000  +1         0 1 1 00001100 3 0 
   23800000  +1         0 1 0 00010000 3 0 
   23850000  +1         0 1 1 00010000 3 0 
   23900000  +1         0 1 0 00010100 3 0 
   23950000  +1         0 1 1 00010100 3 0 
   24000000  +1         0 1 0 00011000 3 0 
   24050000  +1         0 1 1 00011000 3 0 
   24100000  +1         0 1 0 00011100 3 0 
   24150000  +1         0 1 1 00011100 3 0 
   24200000  +1         0 1 0 00100000 3 0 
   24250000  +2         0 1 1 00100000 3 1 
   24300000  +1         0 1 0 00100100 3 1 
   24350000  +1         0 1 1 00100100 3 1 
   24400000  +1         0 1 0 00101000 3 1 
   24450000  +1         0 1 1 00101000 3 1 
